Density,sLTP_fraction,sLTD_fraction
0.8244999423892045,0.09523809523809523,0.14285714285714285
0.6027457591985863,0.05,0.2
0.841516111745949,0.0,0.1111111111111111
0.5670043899151377,0.11538461538461539,0.3076923076923077
0.4839826342117155,0.25,0.041666666666666664
0.5789323250788185,0.15,0.25
0.5479670058266848,0.07692307692307693,0.38461538461538464
0.8505785194797153,0.2777777777777778,0.16666666666666666
0.5214868168119711,0.08695652173913043,0.13043478260869565
0.6486365692302283,0.0,0.20833333333333334
0.5966165544814201,0.0,0.5238095238095238
0.5509645561677909,0.0,0.4166666666666667
0.5499169863653807,0.045454545454545456,0.13636363636363635
0.4942112626332419,0.21428571428571427,0.14285714285714285
0.5661088031965267,0.20833333333333334,0.16666666666666666
0.5897756036692883,0.22580645161290322,0.03225806451612903
0.6125296010177794,0.13636363636363635,0.09090909090909091
