Density,sLTP_fraction,sLTD_fraction
0.7307647460765699,0.24324324324324326,0.21621621621621623
0.6364157610998796,0.08695652173913043,0.13043478260869565
0.7221705138851394,0.0,0.36363636363636365
0.6354023955746221,0.2,0.23333333333333334
0.560670894342871,0.0,0.0
0.45935601397871295,0.10526315789473684,0.05263157894736842
0.5623012311064579,0.1875,0.1875
0.5349348942782609,0.07142857142857142,0.4642857142857143
0.8716460997399943,0.13043478260869565,0.34782608695652173
0.5843685298215147,0.09090909090909091,0.2727272727272727
0.403329585394339,0.25,0.4166666666666667
0.6943443042406493,0.1111111111111111,0.2222222222222222
0.8202750919891869,0.16666666666666666,0.2222222222222222
0.9025494765621211,0.2857142857142857,0.2857142857142857
0.7725638267498577,0.30434782608695654,0.17391304347826086
0.4555735679945452,0.16666666666666666,0.16666666666666666
0.8014440673350048,0.0,0.0
0.670647489484328,0.08823529411764706,0.11764705882352941
0.5331710406245214,0.16129032258064516,0.1935483870967742
