"contrast","estimate","SE","df","t.ratio","p.value"
"IV30.5 - IV31",7.75213890512651,8.28949326306198,512.005091503392,0.93517645278392,0.350138218717614
"IV30.5 - IV31.5",28.8978948193503,8.31718322476533,512.018442143482,3.47448096770354,0.00166578429024672
"IV31 - IV31.5",21.1457559142238,8.32643638695121,512.024237522529,2.53959256175456,0.0170891579625884
