,Rand_Var,Data,Group,RM_Vals,Group_Coded
0,0,0.14056789429294347,sLTP,5,0
1,0,0.16868147315153217,sLTP,10,0
2,0,0.36547652516165313,sLTP,15,0
3,0,0.3373629463030644,sLTP,20,0
4,0,0.6325555243182457,sLTP,25,0
5,0,0.0,sLTP,30,0
6,0,0.23193702558335674,sLTP,35,0
7,0,0.06325555243182457,sLTP,40,0
8,0,0.5060444194545966,sLTP,5,0
9,0,0.3092493674444756,sLTP,10,0
10,0,0.3795333145909474,sLTP,15,0
11,0,0.3935901040202418,sLTP,20,0
12,0,0.0,sLTP,25,0
13,0,0.28113578858588695,sLTP,30,0
14,0,0.16868147315153217,sLTP,35,0
15,0,0.1967950520101209,sLTP,40,0
16,0,0.8152937868990723,sLTP,5,0
17,0,0.691594039921282,sLTP,10,0
18,0,0.6184987348889514,sLTP,15,0
19,0,0.6072533033455159,sLTP,20,0
20,0,0.8554560424113419,sLTP,25,0
21,0,1.24402586449255,sLTP,30,0
22,0,0.46387405116671354,sLTP,35,0
23,0,1.2932246274950803,sLTP,40,0
24,0,2.4247961765532753,sLTP,5,0
25,0,1.7880236154062417,sLTP,10,0
26,0,2.2290051809309612,sLTP,15,0
27,0,1.0843808988312784,sLTP,20,0
28,0,1.3663199325274107,sLTP,25,0
29,0,0.08434073657576609,sLTP,30,0
30,0,2.024177677818386,sLTP,35,0
31,0,1.967950520101209,sLTP,40,0
32,0,2.327804329491144,sLTP,5,0
33,0,2.76215912285634,sLTP,10,0
34,0,2.325394594160408,sLTP,15,0
35,0,1.3916221535001405,sLTP,20,0
36,0,1.231374754006185,sLTP,25,0
37,0,0.2249086308687096,sLTP,30,0
38,0,2.1928591509699187,sLTP,35,0
39,0,2.220972729828507,sLTP,40,0
40,0,0.927748102333427,sLTP,5,0
41,0,0.5229125667697498,sLTP,10,0
42,0,0.5271296035985381,sLTP,15,0
43,0,0.5566488614000563,sLTP,20,0
44,0,0.35844813044700585,sLTP,25,0
45,0,0.36547652516165313,sLTP,30,0
46,0,0.042170368287883044,sLTP,35,0
47,0,0.4217036828788304,sLTP,40,0
48,0,2.839471464717459,sLTP,5,0
49,0,1.7542873207759349,sLTP,10,0
50,0,3.162777621591229,sLTP,15,0
51,0,2.3615406241214507,sLTP,20,0
52,0,1.8554962046668544,sLTP,25,0
53,0,0.8434073657576611,sLTP,30,0
54,0,1.450660669103177,sLTP,35,0
55,0,0.33736294630306435,sLTP,40,0
56,0,0.5060444194545966,sLTP,5,0
57,0,0.6325555243182457,sLTP,10,0
58,0,0.2108518414394152,sLTP,15,0
59,0,0.3795333145909474,sLTP,20,0
60,0,0.33736294630306435,sLTP,25,0
